dataset,fold,config,n_train,n_test,input_dim,knn_dim,accuracy,precision_macro,recall_macro,f1_macro
Breast Cancer,1,normal,379,190,30,30,0.9736842105263158,0.9762536162005786,0.9676293052432241,0.9716409445058061
Breast Cancer,1,pca,379,190,30,8,0.9736842105263158,0.9762536162005786,0.9676293052432241,0.9716409445058061
Breast Cancer,1,lda,379,190,30,1,0.9789473684210527,0.9751785505210162,0.9803527044620666,0.9776365348399247
Breast Cancer,1,pca_lda,379,190,30,1,0.9789473684210527,0.983739837398374,0.971830985915493,0.9772427835668942
Breast Cancer,2,normal,379,190,30,30,0.9473684210526315,0.9566304211973503,0.9324180376375902,0.9423613639121466
Breast Cancer,2,pca,379,190,30,8,0.9473684210526315,0.9566304211973503,0.9324180376375902,0.9423613639121466
Breast Cancer,2,lda,379,190,30,1,0.9368421052631579,0.9376289285280912,0.9268552491419103,0.9317283507006827
Breast Cancer,2,pca_lda,379,190,30,1,0.9473684210526315,0.9566304211973503,0.9324180376375902,0.9423613639121466
Breast Cancer,3,normal,380,189,30,30,0.9735449735449735,0.9730072463768116,0.9701680672268908,0.9715541374431835
Breast Cancer,3,pca,380,189,30,8,0.9629629629629629,0.9681141439205956,0.9529411764705882,0.9596707818930041
Breast Cancer,3,lda,380,189,30,1,0.9735449735449735,0.9730072463768116,0.9701680672268908,0.9715541374431835
Breast Cancer,3,pca_lda,380,189,30,1,0.9576719576719577,0.9507638072855464,0.9605042016806722,0.9551282051282051
LFW People,1,normal,2015,1008,1850,1850,0.310515873015873,0.28619164171153,0.1602697598901794,0.16933083015919925
LFW People,1,pca,2015,1008,1850,100,0.30357142857142855,0.31454477802839853,0.16956808332230947,0.18952866759738424
LFW People,1,lda,2015,1008,1850,61,0.07242063492063493,0.049851078041003284,0.05625532033958402,0.047075598290425194
LFW People,1,pca_lda,2015,1008,1850,61,0.5257936507936508,0.6042941857070486,0.3485092878333161,0.3898980793375307
LFW People,2,normal,2015,1008,1850,1850,0.32142857142857145,0.33545367971301077,0.17204390201025294,0.19137007791815816
LFW People,2,pca,2015,1008,1850,100,0.3323412698412698,0.3411259178769674,0.1855770315807543,0.208120802091541
LFW People,2,lda,2015,1008,1850,61,0.06547619047619048,0.047954267690091625,0.051849454161871734,0.04456485709805848
LFW People,2,pca_lda,2015,1008,1850,61,0.5029761904761905,0.6021562051405303,0.34821644882952896,0.39541422937120213
LFW People,3,normal,2016,1007,1850,1850,0.30685203574975173,0.2506553165387603,0.15611299481237495,0.16072084934655453
LFW People,3,pca,2016,1007,1850,100,0.31082423038728896,0.31077756510171956,0.17560787370285733,0.18867480366574557
LFW People,3,lda,2016,1007,1850,61,0.08937437934458789,0.056998504133306475,0.05736649386101194,0.05179151661667513
LFW People,3,pca_lda,2016,1007,1850,61,0.5233366434955313,0.585134739921188,0.3496100578193621,0.3848390269662497
MNIST,1,normal,46666,23334,784,784,0.9438158909745435,0.943921934868445,0.9429050450504224,0.9431412781146579
MNIST,1,pca,46666,23334,784,57,0.9577440644553012,0.9574696864848666,0.9571928518940839,0.9572901149068491
MNIST,1,lda,46666,23334,784,9,0.9146310105425559,0.9133752397461656,0.9132693528160221,0.9131421571797649
MNIST,1,pca_lda,46666,23334,784,9,0.9153167052369933,0.914082840740568,0.9140198046562802,0.9138483667662477
MNIST,2,normal,46667,23333,784,784,0.942784896927099,0.9429815935616986,0.9419142104604636,0.9420999008518904
MNIST,2,pca,46667,23333,784,57,0.9577422534607637,0.9574391644860467,0.9572699069255508,0.9572987231988815
MNIST,2,lda,46667,23333,784,9,0.9120130287575536,0.911191896163958,0.9108350564093269,0.9107059483663569
MNIST,2,pca_lda,46667,23333,784,9,0.9139844854926499,0.9129254012164122,0.9127939745120353,0.9125644754170988
MNIST,3,normal,46667,23333,784,784,0.9454849354990785,0.9456303991747218,0.9447107859356592,0.9449184165052525
MNIST,3,pca,46667,23333,784,57,0.9585136930527579,0.9581008536262077,0.9579639925716747,0.9579960847276263
MNIST,3,lda,46667,23333,784,9,0.9155273646766382,0.9144882794803092,0.9144478397891614,0.9142904311579866
MNIST,3,pca_lda,46667,23333,784,9,0.9175845369219561,0.91648490018753,0.9164410200049291,0.9162975137923436
