dataset,config,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std
Breast Cancer,normal,0.9648658683746403,0.015153393805484526,0.9686304279249135,0.01051831024235058,0.9567384700359017,0.02110032943186092,0.9618521486203787,0.016879570500268108
Breast Cancer,pca,0.9613385315139701,0.013232886195202314,0.9669993937728415,0.009858977961869004,0.9509961731171342,0.01768602895317657,0.9578910301036524,0.01472070301510513
Breast Cancer,lda,0.9631114824097281,0.022909749002353277,0.9619382418086397,0.02108045717128894,0.9591253402769558,0.028406879365765286,0.960306340994597,0.024935417310569842
Breast Cancer,pca_lda,0.9613292490485472,0.016104015473922522,0.963711355293757,0.01759145705331904,0.9549177417445852,0.020291661438933184,0.9582441175357487,0.017648230559499878
LFW People,normal,0.31293216006473207,0.007582722494318194,0.29076687932110035,0.04258391948430817,0.16280888557093576,0.008263402474396218,0.17380725247463732,0.015807358114758297
LFW People,pca,0.3155789762666625,0.014962675160412655,0.32214942033569516,0.016541722023694125,0.17691766286864039,0.008084445981605234,0.1954414244515569,0.010988959637128263
LFW People,lda,0.07575706824713777,0.012293481943861453,0.05160128328813379,0.004769378053321658,0.0551570894541559,0.002917878521932233,0.047810657335052936,0.003668976124046046
LFW People,pca_lda,0.5173688282551242,0.012524784943959979,0.597195043589589,0.010499092039611656,0.3487785981607357,0.0007348010230512167,0.3900504452249942,0.005289247394400704
MNIST,normal,0.9440285744669069,0.0013625262468984782,0.9441779758682886,0.0013428367507245368,0.9431766804821816,0.0014179379228148783,0.9433865318239336,0.0014251735538161412
MNIST,pca,0.9580000036562742,0.00044486898854611683,0.9576699015323736,0.0003735273463723021,0.9574755837971032,0.000424725461654395,0.9575283076111191,0.0004051297307268626
MNIST,lda,0.914057134658916,0.0018260995004132933,0.913018471796811,0.0016769013892726857,0.9128507496715036,0.001842409395832728,0.9127128455680361,0.0018303990182051116
MNIST,pca_lda,0.9156285758838664,0.0018201758290610473,0.9144977140481702,0.0018156536363986998,0.9144182663910815,0.001855886317204009,0.91423678532523,0.001896587886306348
