dataset,config,knn_dim,query_samples,query_time_ms_per_sample,speedup_vs_normal
Breast Cancer,normal,30,190,0.0435256631578197,1.0
Breast Cancer,pca,8,190,0.017686489473745542,2.4609554780461522
Breast Cancer,lda,1,190,0.017065142105222645,2.550559666567267
Breast Cancer,pca_lda,1,190,0.016962726315820253,2.5659591711519614
LFW People,normal,1850,200,0.3269792900002244,1.0
LFW People,pca,100,200,0.03978852000017241,8.217930448250087
LFW People,lda,61,200,0.030225229999985004,10.81809104514297
LFW People,pca_lda,61,200,0.030397584999946048,10.756752222283604
MNIST,normal,784,200,3.1333571950000305,1.0
MNIST,pca,57,200,0.40312857999992957,7.77259998534606
MNIST,lda,9,200,0.24582888999987063,12.746090156456711
MNIST,pca_lda,9,200,0.2432677199999489,12.880283479455017
