dataset,config,Accuracy,Macro-Precision,Macro-Recall,Macro-F1
Breast Cancer,normal,0.9649 ± 0.0152,0.9686 ± 0.0105,0.9567 ± 0.0211,0.9619 ± 0.0169
Breast Cancer,pca,0.9613 ± 0.0132,0.9670 ± 0.0099,0.9510 ± 0.0177,0.9579 ± 0.0147
Breast Cancer,lda,0.9631 ± 0.0229,0.9619 ± 0.0211,0.9591 ± 0.0284,0.9603 ± 0.0249
Breast Cancer,pca_lda,0.9613 ± 0.0161,0.9637 ± 0.0176,0.9549 ± 0.0203,0.9582 ± 0.0176
LFW People,normal,0.3129 ± 0.0076,0.2908 ± 0.0426,0.1628 ± 0.0083,0.1738 ± 0.0158
LFW People,pca,0.3156 ± 0.0150,0.3221 ± 0.0165,0.1769 ± 0.0081,0.1954 ± 0.0110
LFW People,lda,0.0758 ± 0.0123,0.0516 ± 0.0048,0.0552 ± 0.0029,0.0478 ± 0.0037
LFW People,pca_lda,0.5174 ± 0.0125,0.5972 ± 0.0105,0.3488 ± 0.0007,0.3901 ± 0.0053
MNIST,normal,0.9440 ± 0.0014,0.9442 ± 0.0013,0.9432 ± 0.0014,0.9434 ± 0.0014
MNIST,pca,0.9580 ± 0.0004,0.9577 ± 0.0004,0.9575 ± 0.0004,0.9575 ± 0.0004
MNIST,lda,0.9141 ± 0.0018,0.9130 ± 0.0017,0.9129 ± 0.0018,0.9127 ± 0.0018
MNIST,pca_lda,0.9156 ± 0.0018,0.9145 ± 0.0018,0.9144 ± 0.0019,0.9142 ± 0.0019
